ID, 达人名, 视频标题, 是否热门, 播放数, 点赞数, 评论数, 分享数
6596678048475512846,Rika_花花,大学究竟怎么过才最有价值？来自老学姐的8条建议～,false,1525412,82670,1863,1045
6629656822082961412,Sooki莹莹孙（周五播）,网上美甲翻车的还少吗？怎么还会有人相信50块就可以做手绘…无语……#美甲分享 #手绘美甲,false,1023807,15922,580,86
6629656822082961412,Sooki莹莹孙（周五播）,今天就少喝点吧~别怕太想ta睡不着，我哄你睡...#沉浸式护肤 #皮肤管理 ,false,4327232,48863,2899,536
6629656822082961412,Sooki莹莹孙（周五播）,别再熬夜也别再等了...他不会来了，我来哄你睡觉吧...乖~#沉浸式护肤 #皮肤管理 ,false,2158318,32789,1733,189
6629656822082961412,Sooki莹莹孙（周五播）,你失眠的时候，他不哄你睡，我哄你睡～#沉浸式护肤 #皮肤管理,true,3412372,54257,1891,449
6629656822082961412,Sooki莹莹孙（周五播）,曾经最让我自卑的就是我的脚！今天我要让大伙都知道它有多丑！！！！#脚部美甲,false,2246719,38866,3884,378
6629656822082961412,Sooki莹莹孙（周五播）,听说夜深人静的时候，你一想到他就睡不着…于是我来了～#沉浸式护肤 #皮肤管理,true,12362756,210464,8751,1397
6674496504691949580,PIGGY🐷,和 @废物咯 一起 #合拍 #有效夹子音太上头了 #方言版有效夹子音 听说有人想念我的声音了@Piggie🐷,true,10306825,410771,70328,3547
6674496504691949580,PIGGY🐷,艾特你列表第一个人和他亲亲一小时.@Piggie🐷,true,1797363,192685,34529,1020
6674496504691949580,PIGGY🐷,艾特你列表第一个做我对象,true,1841636,150058,23297,504
6639136227729604622,爱娅aiya,第二遍发，删了一点希望不会限我555#沉浸式护肤 ,false,1963380,98045,11120,2837
6639136227729604622,爱娅aiya,这应该是最后一篇喂养的tips了,true,3859255,74093,3405,253
6639136227729604622,爱娅aiya,第一次回应  抄袭#原创者联盟计划,false,1918936,55023,1298,68
6639136227729604622,爱娅aiya,品牌代表作，居然是它？,false,1087179,60458,1119,363
6639136227729604622,爱娅aiya,好吃好吃好吃好吃#环球影城,false,1468151,65120,1394,424
6639136227729604622,爱娅aiya,大牌冷门隐藏线,false,1139815,60127,417,782
6639136227729604622,爱娅aiya,起飞前快速护肤，猜猜我去哪里嘿#沉浸式护肤,false,1423426,28047,735,61
6639136227729604622,爱娅aiya,三亚晒后怎样护肤？可以不黑#沉浸式护肤 ,false,1354073,30840,627,43
6639136227729604622,爱娅aiya,应该有宝宝要去三亚的吧？拖了一天箱子学到的8个点,true,10322287,350797,4685,4350
6882541078445031432,真湘警告,#妆前妆后 #变装 做的跟康复训练一样,false,1675500,23276,1427,535
6882541078445031432,真湘警告,#妆前妆后 我觉得我是演技派 你觉得呢哈哈哈哈哈哈,true,3633648,126696,2788,358
6596678167891542020,果儿Dora,喜报！ 终于把马桶拉炸了,true,2107293,32645,1786,125
6596678167891542020,果儿Dora,甜辣麻辣翻天辣一次搞齐，你能撑到第几个？,true,1103562,52297,5516,566
6596678167891542020,果儿Dora,差价109！某8高颜软糯睡衣，感觉躺在棉花糖里！,false,1027158,38725,979,178
6596678167891542020,果儿Dora,称霸衣柜C位！差价94！某8质感西装没人能拒绝！,false,4446577,154143,3664,1047
6596678167891542020,果儿Dora,车晕我不晕！亲测贼有效的防晕车小tips~,true,6622075,381403,46568,6544
6629661695608356867,太阳婶子,求求了，看看婶子吧！我这是第三遍讲闭口，我都要emo了！,true,2783832,147534,1891,573
